City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,291.31,88,20,5.14,ZA,1628156890
1,ancud,-41.8697,-73.8203,283.89,81,100,9.75,CL,1628157038
2,ushuaia,-54.8,-68.3,281.96,66,20,2.06,AR,1628157038
3,maarianhamina,60.0973,19.9348,292.07,68,0,5.66,AX,1628157038
4,tarauaca,-8.1614,-70.7656,291.68,62,7,1.13,BR,1628157039
5,vaini,-21.2,-175.2,288.24,94,20,1.03,TO,1628157040
6,hasaki,35.7333,140.8333,301.31,86,10,3.33,JP,1628157041
7,puerto ayora,-0.7393,-90.3518,294.57,81,46,2.24,EC,1628157041
8,hobart,-42.8794,147.3294,285.07,62,40,2.68,AU,1628156830
9,mataura,-46.1927,168.8643,276.19,95,94,0.65,NZ,1628157042
10,cochabamba,-17.3895,-66.1568,282.48,63,40,1.54,BO,1628157007
11,cabo san lucas,22.8909,-109.9124,299.71,76,92,3.64,MX,1628157042
12,port lincoln,-34.7333,135.8667,286.54,73,100,5.25,AU,1628157043
13,albany,42.6001,-73.9662,289.87,94,1,0.95,US,1628156834
14,castro,-24.7911,-50.0119,281.48,98,100,2.78,BR,1628157043
15,carnarvon,-24.8667,113.6333,298.19,35,0,6.69,AU,1628157044
16,airai,-8.9266,125.4092,288.66,88,79,1.64,TL,1628157045
17,port hardy,50.6996,-127.4199,289.25,94,90,2.06,CA,1628157045
18,khatanga,71.9667,102.5,299.08,23,23,6.21,RU,1628157045
19,turayf,31.6725,38.6637,310.29,15,0,5.14,SA,1628157046
20,provideniya,64.3833,-173.3,282.48,89,98,2.9,RU,1628157046
21,shizunai,42.3339,142.3669,297.64,90,40,0.2,JP,1628157046
22,esperance,-33.8667,121.9,290.06,76,1,2.31,AU,1628157047
23,jamestown,42.097,-79.2353,289.95,88,1,0.0,US,1628157047
24,labuhan,-6.8844,112.2051,302.38,66,63,6.02,ID,1628157048
25,hithadhoo,-0.6,73.0833,300.86,74,90,2.95,MV,1628157048
26,grand gaube,-20.0064,57.6608,296.69,57,1,5.81,MU,1628157048
27,bomet,-0.7813,35.3416,298.03,37,20,2.19,KE,1628157049
28,san jeronimo,-11.9472,-75.2829,276.83,84,12,0.61,PE,1628157049
29,lompoc,34.6391,-120.4579,290.97,87,90,3.09,US,1628157050
30,bud,39.447,-86.1758,290.06,88,83,1.69,US,1628157050
31,mahebourg,-20.4081,57.7,296.62,60,40,7.2,MU,1628157050
32,rikitea,-23.1203,-134.9692,296.15,73,23,8.03,PF,1628157051
33,qarchi gak,37.04,66.7889,311.2,9,0,4.35,AF,1628157051
34,seybaplaya,19.65,-90.6667,297.51,84,32,3.89,MX,1628157052
35,cherskiy,68.75,161.3,277.72,91,91,6.16,RU,1628157052
36,nikolskoye,59.7035,30.7861,293.93,37,100,0.94,RU,1628157052
37,loukhi,66.0764,33.0381,289.53,47,100,2.61,RU,1628157053
38,energetik,51.7445,58.7934,310.42,15,97,5.19,RU,1628157053
39,hovd,48.0056,91.6419,300.63,20,76,8.6,MN,1628157054
40,kaitangata,-46.2817,169.8464,283.11,80,100,2.2,NZ,1628157054
41,luderitz,-26.6481,15.1594,292.75,50,69,1.78,NA,1628157055
42,san pedro,14.35,121.0167,303.72,77,75,8.23,PH,1628157056
43,necochea,-38.5473,-58.7368,279.84,79,0,4.92,AR,1628157056
44,new norfolk,-42.7826,147.0587,284.87,65,99,2.24,AU,1628157057
45,longyearbyen,78.2186,15.6401,279.06,93,75,5.14,SJ,1628157058
46,severo-kurilsk,50.6789,156.125,284.8,76,99,6.06,RU,1628157058
47,soyo,-6.1349,12.3689,297.18,68,82,3.29,AO,1628157058
48,kiama,-34.6833,150.8667,287.91,62,83,2.24,AU,1628157059
49,denia,38.8408,0.1057,304.7,71,0,2.68,ES,1628157059
